2155;Inle Princess Resort
2160;Howard Plaza The Fern
2162;Best Western Fort Lee
2164;Marine Plaza Hotel
2165;Novotel Duesseldorf City West Seestern
2167;Hotel Raphael
2171;Marriott Lisbon Hotel
2174;Kempinski Hotel Corvinus Budapest
2183;Renaissance Hong Kong Harbour View Hotel
2186;Pousada do Geres - Canicada - Charming Hotel
2187;The Westin Washington DC City Center
2189;Holiday Inn Express Hotel & Suites Fisherman's Wharf
2194;Sheraton Mar del Plata Hotel
2195;Hilton Palacio Del Rio Hotel
2198;James Cook Grand Chancellor Hotel
2202;Radisson Blu Sky Hotel Tallinn
2203;Manhattan Hotel
2205;Park Tower a Luxury Collection Hotel Buenos Aires
2209;Villa Seminyak Estate & Spa Hotel
2210;Hampton Inn and Suites Chicago North Shore
2215;Hilton Woodcliff Lake
2217;Wild Coast Sun Hotel
2219;Richmond Hotel
2223;Crowne Plaza Hotel Ventura Beach
2226;Hotel Admiral
2233;Hotel Saint Sauveur
2234;Le Meridien New Delhi
2236;ibis Styles Paris Nation Porte De Montreuil
2237;The Westin Nagoya Castle Hotel
2243;Austria Trend Hotel Europa Graz
2248;New Hotel Vieux Port
2258;Washington Hilton Hotel
2260;Grand Prince Hotel Takanawa
2271;Hotel Villa D'Est
2275;Boutique Hotel Wellenberg
2281;Thon Hotel Bristol Stephanie
2282;Copenhagen Star Hotel
2288;Sedona Hotel Mandalay
2290;Miyagi-Zao Royal Hotel
2291;Hilton Garden Inn Chicago Downtown Magnificent Mile
2295;City Garden Hotel
2296;The Naviti Resort
2300;NH Brussels Airport Hotel
2301;Hilton Leeds City Hotel
2304;Heritage Christchurch
2305;Dhulikhel Mountain Resort
2306;Hotel de Suede
2309;Four Points by Sheraton Brussels
2311;WelcomHeritage Noor-Us-Sabah Palace
2312;Shibuya Tokyu REI Hotel
2313;The Park Lane Jakarta
2316;InterContinental Frankfurt
2317;Quality Inn University Center
2326;Carlton Square Hotel
2332;Hotel Palm - Astotel
2339;Cactus Resort Sanya by Gloria
2343;Renaissance Brussels Hotel
2348;Hilton Newark Penn Station Hotel
2349;Orlando Metropolitan Resort
2354;Belmond La Residence d'Angkor
2358;Novotel Manaus
2365;Amarin Lagoon Hotel
2366;Grand Millennium Auckland
2367;Median Paris Porte De Versailles Hotel
2368;Trinity City Hotel
2370;Grand Hotel National
2371;Quality Hotel City Centre
2372;Hilton Zurich Airport Hotel
2377;La Reserve Hotel
2383;Raffles Hotel Le Royal
2385;DoubleTree by Hilton Hotel Swindon
2387;Clarion Congress Hotel Ceske Budejovice
2388;Mitsui Garden Hotel Kyoto Sanjo
2390;Sheraton Gateway Los Angeles Hotel
